iter	Passed	Remaining
0	119	119825
1	216	108093
2	314	104401
3	407	101375
4	499	99359
5	588	97513
6	694	98502
7	728	90388
8	746	82176
9	847	83870
10	947	85177
11	1051	86587
12	1147	87127
13	1251	88164
14	1347	88477
15	1442	88712
16	1538	88969
17	1629	88913
18	1740	89867
19	1834	89878
20	1940	90465
21	2050	91152
22	2066	87775
23	2174	88410
24	2273	88660
25	2367	88707
26	2472	89098
27	2563	88974
28	2660	89086
29	2750	88925
30	2850	89101
31	2946	89140
32	3038	89027
33	3133	89039
34	3239	89304
35	3339	89423
36	3439	89526
37	3539	89595
38	3636	89617
39	3735	89643
40	3829	89581
41	3928	89607
42	4030	89709
43	4123	89586
44	4220	89565
45	4327	89743
46	4421	89643
47	4429	87842
48	4522	87769
49	4621	87807
50	4712	87693
51	4810	87691
52	4917	87869
53	5018	87924
54	5135	88232
55	5234	88236
56	5333	88240
57	5426	88125
58	5517	87991
59	5606	87839
60	5699	87727
61	5789	87587
62	5879	87440
63	5969	87303
64	6062	87212
65	6150	87044
66	6158	85759
67	6253	85705
68	6345	85618
69	6432	85463
70	6529	85430
71	6623	85372
72	6656	84523
73	6754	84524
74	6849	84477
75	6944	84436
76	7040	84391
77	7138	84381
78	7229	84285
79	7230	83154
80	7326	83118
81	7333	82099
82	7348	81190
83	7441	81147
84	7449	80186
85	7543	80169
86	7635	80126
87	7729	80102
88	7830	80149
89	7940	80288
90	7974	79660
91	8070	79656
92	8162	79605
93	8166	78711
94	8169	77824
95	8264	77826
96	8357	77802
97	8449	77768
98	8548	77800
99	8640	77766
100	8656	77052
101	8747	77008
102	8839	76977
103	8843	76186
104	8938	76187
105	9033	76191
106	9127	76179
107	9136	75457
108	9229	75442
109	9329	75485
110	9422	75464
111	9516	75451
112	9626	75561
113	9725	75586
114	9757	75093
115	9856	75111
116	9951	75104
117	10053	75143
118	10147	75128
119	10244	75124
120	10248	74451
121	10265	73878
122	10361	73877
123	10393	73428
124	10491	73438
125	10594	73489
126	10626	73048
127	10722	73043
128	10737	72501
129	10833	72503
130	10931	72516
131	11028	72522
132	11142	72633
133	11249	72704
134	11261	72154
135	11360	72170
136	11459	72183
137	11557	72191
138	11654	72193
139	11751	72188
140	11755	71619
141	11848	71589
142	11945	71587
143	12037	71556
144	12144	71609
145	12179	71240
146	12279	71253
147	12372	71224
148	12468	71211
149	12477	70705
150	12574	70698
151	12673	70702
152	12689	70249
153	12784	70231
154	12885	70248
155	12997	70322
156	13098	70333
157	13197	70329
158	13291	70301
159	13388	70288
160	13485	70277
161	13582	70259
162	13677	70234
163	13709	69885
164	13804	69856
165	13902	69846
166	14014	69902
167	14111	69883
168	14213	69890
169	14310	69867
170	14409	69857
171	14425	69442
172	14519	69406
173	14611	69362
174	14710	69347
175	14802	69304
176	14896	69266
177	14990	69225
178	15083	69182
179	15177	69139
180	15276	69124
181	15376	69111
182	15475	69088
183	15571	69057
184	15664	69007
185	15759	68969
186	15852	68918
187	15947	68880
188	15982	68579
189	16079	68548
190	16179	68531
191	16283	68527
192	16382	68500
193	16476	68454
194	16569	68400
195	16662	68348
196	16759	68312
197	16864	68309
198	16960	68268
199	17065	68260
200	17165	68236
201	17268	68218
202	17272	67814
203	17369	67775
204	17464	67727
205	17558	67676
206	17649	67613
207	17739	67545
208	17828	67475
209	17919	67410
210	18019	67380
211	18020	66983
212	18119	66948
213	18220	66920
214	18228	66556
215	18327	66523
216	18422	66474
217	18430	66112
218	18525	66065
219	18620	66019
220	18712	65958
221	18805	65902
222	18898	65847
223	18993	65797
224	19008	65473
225	19015	65125
226	19111	65080
227	19118	64735
228	19209	64674
229	19303	64624
230	19397	64572
231	19428	64315
232	19535	64309
233	19632	64265
234	19647	63959
235	19742	63912
236	19846	63893
237	19944	63855
238	20040	63812
239	20133	63757
240	20235	63728
241	20334	63690
242	20427	63636
243	20521	63583
244	20613	63522
245	20709	63476
246	20743	63239
247	20837	63186
248	20933	63137
249	21024	63073
250	21117	63014
251	21214	62970
252	21310	62921
253	21403	62862
254	21499	62813
255	21589	62744
256	21678	62672
257	21769	62609
258	21860	62543
259	21955	62489
260	22044	62417
261	22139	62362
262	22231	62298
263	22327	62247
264	22418	62180
265	22512	62119
266	22601	62048
267	22693	61982
268	22695	61674
269	22786	61608
270	22879	61546
271	22972	61486
272	23072	61443
273	23165	61381
274	23256	61312
275	23350	61252
276	23444	61191
277	23474	60966
278	23566	60900
279	23658	60836
280	23750	60769
281	23845	60712
282	23933	60637
283	24023	60567
284	24114	60497
285	24118	60211
286	24207	60139
287	24222	59884
288	24322	59837
289	24329	59565
290	24418	59494
291	24508	59424
292	24598	59356
293	24689	59287
294	24778	59216
295	24871	59153
296	24972	59109
297	25090	59105
298	25183	59042
299	25273	58972
300	25369	58914
301	25460	58846
302	25560	58796
303	25650	58725
304	25740	58654
305	25832	58588
306	25926	58525
307	26019	58460
308	26116	58402
309	26209	58338
310	26304	58276
311	26397	58210
312	26489	58140
313	26580	58071
314	26672	58002
315	26762	57929
316	26852	57855
317	26941	57780
318	27032	57709
319	27122	57635
320	27212	57562
321	27214	57302
322	27306	57232
323	27397	57161
324	27486	57087
325	27577	57016
326	27668	56944
327	27759	56873
328	27849	56799
329	27943	56732
330	28033	56659
331	28127	56594
332	28217	56519
333	28311	56452
334	28406	56388
335	28501	56324
336	28593	56252
337	28683	56178
338	28774	56106
339	28867	56037
340	28961	55968
341	28965	55728
342	29057	55658
343	29148	55584
344	29239	55512
345	29254	55296
346	29346	55226
347	29436	55150
348	29526	55077
349	29616	55002
350	29707	54928
351	29797	54853
352	29886	54778
353	29978	54705
354	30066	54627
355	30157	54554
356	30248	54481
357	30341	54411
358	30435	54343
359	30526	54269
360	30617	54195
361	30707	54119
362	30797	54043
363	30799	53814
364	30890	53740
365	30898	53523
366	30990	53452
367	31084	53384
368	31179	53317
369	31268	53241
370	31367	53181
371	31460	53109
372	31550	53034
373	31641	52961
374	31732	52887
375	31825	52815
376	31918	52745
377	31922	52528
378	32017	52460
379	32109	52389
380	32200	52315
381	32293	52244
382	32385	52172
383	32477	52098
384	32493	51904
385	32497	51692
386	32588	51619
387	32679	51546
388	32769	51471
389	32860	51396
390	32875	51204
391	32965	51130
392	33057	51058
393	33073	50869
394	33165	50798
395	33258	50727
396	33351	50656
397	33442	50583
398	33532	50508
399	33621	50432
400	33715	50362
401	33804	50286
402	33893	50209
403	33988	50141
404	34018	49977
405	34114	49910
406	34129	49726
407	34219	49652
408	34317	49587
409	34419	49530
410	34427	49338
411	34432	49140
412	34524	49070
413	34614	48995
414	34618	48800
415	34711	48729
416	34808	48664
417	34900	48594
418	34902	48396
419	34995	48326
420	35093	48264
421	35124	48109
422	35218	48039
423	35313	47973
424	35410	47908
425	35502	47836
426	35594	47765
427	35686	47693
428	35782	47626
429	35802	47458
430	35897	47391
431	35993	47325
432	36084	47251
433	36176	47179
434	36277	47119
435	36375	47054
436	36470	46985
437	36566	46918
438	36656	46843
439	36931	47003
440	37056	46971
441	37169	46923
442	37270	46861
443	37278	46682
444	37379	46619
445	37482	46559
446	37579	46491
447	37674	46420
448	37778	46360
449	37873	46289
450	37964	46214
451	38054	46137
452	38154	46071
453	38251	46003
454	38362	45950
455	38458	45880
456	38553	45808
457	38649	45737
458	38743	45665
459	38838	45592
460	38930	45517
461	39023	45442
462	39114	45365
463	39204	45288
464	39295	45211
465	39392	45140
466	39488	45069
467	39582	44995
468	39674	44919
469	39769	44846
470	39861	44769
471	39951	44691
472	40048	44621
473	40143	44547
474	40240	44476
475	40255	44314
476	40348	44239
477	40442	44165
478	40539	44093
479	40634	44020
480	40728	43946
481	40823	43872
482	40916	43796
483	41018	43730
