iter	Passed	Remaining
0	1	972
1	1	578
2	1	434
3	1	372
4	1	324
5	1	305
6	2	278
7	2	264
8	2	255
9	2	246
10	2	241
11	3	233
12	3	233
13	3	243
14	3	244
15	4	236
16	4	230
17	4	226
18	4	224
19	4	218
20	4	214
21	5	211
22	5	209
23	5	205
24	5	203
25	5	201
26	5	200
27	6	197
28	6	198
29	6	198
30	6	198
31	6	197
32	7	196
33	7	196
34	7	197
35	7	197
36	8	196
37	8	195
38	8	196
39	8	195
40	8	195
41	9	193
42	9	191
43	9	189
44	9	187
45	9	185
46	9	183
47	9	181
48	10	191
49	10	190
50	10	191
51	11	189
52	11	189
53	11	188
54	11	187
55	11	185
56	12	186
57	12	187
58	12	187
59	12	187
60	13	186
61	13	185
62	13	184
63	13	183
64	13	181
65	13	180
66	13	180
67	14	179
68	14	177
69	14	177
70	14	177
71	14	176
72	14	175
73	15	175
74	15	174
75	15	173
76	15	173
77	15	172
78	15	171
79	15	171
80	16	170
81	16	169
82	16	169
83	16	168
84	16	168
85	16	167
86	17	166
87	17	166
88	17	165
89	17	164
90	17	163
91	17	163
92	17	162
93	18	163
94	18	162
95	18	161
96	18	161
97	18	162
98	19	161
99	19	161
100	19	160
101	19	160
102	19	160
103	19	159
104	20	158
105	20	158
106	20	157
107	20	157
108	20	156
109	20	155
110	20	154
111	20	153
112	20	153
113	21	152
114	21	151
115	21	150
116	21	151
117	21	150
118	21	150
119	22	149
120	22	149
121	22	149
122	22	148
123	22	147
124	22	147
125	22	146
126	22	145
127	22	145
128	23	144
129	23	144
130	23	143
131	23	143
132	23	143
133	23	142
134	23	142
135	24	141
136	24	141
137	24	140
138	24	140
139	24	140
140	24	139
141	24	139
142	25	139
143	25	138
144	25	138
145	25	137
146	25	137
147	25	136
148	25	136
149	25	135
150	26	135
151	26	134
152	26	134
153	26	133
154	26	133
155	26	132
156	26	132
157	26	132
158	26	131
159	27	131
160	27	131
161	27	130
162	27	130
163	27	129
164	27	129
165	27	128
166	27	128
167	28	128
168	28	127
169	28	127
170	28	127
171	28	126
172	28	126
173	28	126
174	29	126
175	29	125
176	29	125
177	29	125
178	29	124
179	29	124
180	29	124
181	29	123
182	30	123
183	30	123
184	30	123
185	30	122
186	30	122
187	30	122
188	30	121
189	30	121
190	31	121
191	31	120
192	31	120
193	31	120
194	31	119
195	31	119
196	31	119
197	31	119
198	32	118
199	32	118
200	32	118
201	32	117
202	32	117
203	32	117
204	32	116
205	32	116
206	32	116
207	33	115
208	33	115
209	33	115
210	33	115
211	33	115
212	33	114
213	33	114
214	34	114
215	34	114
216	34	113
217	34	113
218	34	113
219	34	113
220	34	112
221	34	112
222	35	112
223	35	111
224	35	111
225	35	111
226	35	111
227	35	111
228	35	110
229	36	110
230	36	110
231	36	110
232	36	109
233	36	109
234	36	109
235	36	108
236	36	108
237	36	108
238	37	108
239	37	107
240	37	107
241	37	107
242	37	107
243	37	106
244	37	106
245	37	106
246	37	106
247	38	105
248	38	105
249	38	105
250	38	105
251	38	104
252	38	104
253	38	104
254	38	104
255	39	103
256	39	103
257	39	103
258	39	103
259	39	103
260	39	102
261	39	102
262	39	102
263	40	102
264	40	102
265	40	102
266	40	102
267	40	102
268	41	101
269	41	101
270	41	101
271	41	101
272	42	102
273	42	102
274	42	102
275	42	102
276	42	101
277	42	101
278	42	101
279	42	100
280	43	100
281	43	100
282	43	99
283	43	99
284	43	99
285	43	99
286	43	99
287	43	98
288	43	98
289	44	98
290	44	97
291	44	97
292	44	97
293	44	97
294	44	97
295	44	96
296	44	96
297	44	96
298	45	96
299	45	95
300	45	95
301	45	95
302	45	95
303	45	94
304	45	94
305	45	94
306	46	94
307	46	94
308	46	93
309	46	93
310	46	93
311	46	93
312	46	93
313	46	92
314	46	92
315	47	92
316	47	92
317	47	92
318	47	91
319	47	91
320	47	91
321	47	91
322	47	90
323	47	90
324	48	90
325	48	90
326	48	90
327	48	89
328	48	89
329	48	89
330	48	89
331	48	88
332	48	88
333	48	88
334	49	88
335	49	87
336	49	87
337	49	87
338	49	87
339	49	87
340	49	86
341	49	86
342	49	86
343	50	86
344	50	86
345	50	86
346	50	85
347	50	85
348	50	85
349	50	85
350	50	85
351	51	84
352	51	84
353	51	84
354	51	84
355	51	84
356	51	83
357	51	83
358	51	83
359	51	83
360	52	83
361	52	82
362	52	82
363	52	82
364	52	82
365	52	82
366	52	81
367	52	81
368	52	81
369	53	81
370	53	81
371	53	80
372	53	80
373	53	80
374	53	80
375	53	80
376	53	80
377	53	79
378	54	79
379	54	79
380	54	79
381	54	79
382	54	78
383	54	78
384	54	78
385	54	78
386	55	78
387	55	77
388	55	77
389	55	77
390	55	77
391	55	77
392	55	77
393	55	76
394	55	76
395	56	76
396	56	76
397	56	76
398	56	75
399	56	75
400	56	75
401	56	75
402	56	75
403	56	75
404	57	74
405	57	74
406	57	74
407	57	74
408	57	74
409	57	74
410	57	73
411	57	73
412	58	73
413	58	73
414	58	73
415	58	73
416	58	72
417	58	72
418	58	72
419	58	72
420	58	72
421	59	72
422	59	71
423	59	71
424	59	71
425	59	71
426	59	71
427	59	70
428	59	70
429	59	70
430	59	70
431	60	70
432	60	70
433	60	69
434	60	69
435	60	69
436	60	69
437	60	69
438	60	68
439	60	68
440	60	68
441	61	68
442	61	68
443	61	68
444	61	67
445	61	67
446	61	67
447	61	67
448	61	67
449	61	67
450	62	66
451	62	66
452	62	66
453	62	66
454	62	66
455	62	66
456	62	65
457	62	65
458	63	65
459	63	65
460	63	65
461	63	65
462	63	65
463	63	65
464	63	64
465	64	64
466	64	64
467	64	64
468	64	64
469	64	64
470	64	63
471	64	63
472	64	63
473	64	63
474	65	63
475	65	63
476	65	62
477	65	62
478	65	62
479	65	62
480	65	62
481	65	62
482	66	62
483	66	61
484	66	61
485	66	61
486	66	61
487	66	61
488	66	61
489	66	60
490	66	60
491	66	60
492	67	60
493	67	60
494	67	60
495	67	59
496	67	59
497	67	59
498	67	59
499	67	59
500	68	59
501	68	59
502	68	58
503	68	58
504	68	58
505	68	58
506	68	58
507	68	58
508	69	58
509	69	57
510	69	57
511	69	57
512	69	57
513	69	57
514	69	57
515	69	57
516	70	56
517	70	56
518	70	56
519	70	56
520	70	56
521	70	56
522	70	56
523	71	56
524	71	55
525	71	55
526	71	55
527	71	55
528	71	55
529	71	55
530	71	54
531	71	54
532	72	54
533	72	54
534	72	54
535	72	54
536	72	53
537	72	53
538	72	53
539	72	53
540	73	53
541	73	53
542	73	53
543	73	53
544	73	52
545	73	52
546	73	52
547	73	52
548	73	52
549	74	52
550	74	51
551	74	51
552	74	51
553	74	51
554	74	51
555	74	51
556	74	51
557	74	50
558	75	50
559	75	50
560	75	50
561	75	50
562	75	50
563	75	50
564	75	49
565	75	49
566	76	49
567	76	49
568	76	49
569	76	49
570	76	49
571	76	48
572	76	48
573	76	48
574	76	48
575	77	48
576	77	48
577	77	47
578	77	47
579	77	47
580	77	47
581	77	47
582	77	47
583	78	47
584	78	47
585	78	46
586	78	46
587	78	46
588	78	46
589	78	46
590	79	46
591	79	46
592	79	45
593	79	45
594	79	45
595	79	45
596	79	45
597	79	45
598	79	45
599	80	44
600	80	44
601	80	44
602	80	44
603	80	44
604	80	44
605	80	44
606	81	44
607	81	43
608	81	43
609	81	43
610	81	43
611	81	43
612	81	43
613	81	43
614	81	42
615	82	42
616	82	42
617	82	42
618	82	42
619	82	42
620	82	42
621	82	41
622	82	41
623	83	41
624	83	41
625	83	41
626	83	41
627	83	41
628	83	40
629	83	40
630	83	40
631	83	40
632	84	40
633	84	40
634	84	40
635	84	39
636	84	39
637	85	39
638	85	39
639	85	39
640	85	39
641	85	39
642	85	39
643	85	39
644	86	38
645	86	38
646	86	38
647	86	38
648	86	38
649	86	38
650	86	38
651	86	37
652	86	37
653	87	37
654	87	37
655	87	37
656	87	37
657	87	37
658	87	36
659	87	36
660	87	36
661	88	36
662	88	36
663	88	36
664	88	36
665	88	36
666	88	35
667	88	35
668	88	35
669	88	35
670	89	35
671	89	35
672	89	34
673	89	34
674	89	34
675	89	34
676	89	34
677	89	34
678	89	34
679	90	34
680	90	33
681	90	33
682	90	33
683	90	33
