iter	Passed	Remaining
0	0	81
1	0	79
2	0	77
3	1	73
4	1	68
5	1	65
6	1	63
7	2	62
8	2	61
9	2	60
10	2	57
11	2	56
12	3	56
13	3	61
14	3	60
15	4	59
16	4	57
17	4	57
18	5	58
19	5	59
20	5	58
21	5	57
22	5	56
23	6	56
24	6	56
25	6	56
26	7	56
27	7	55
28	7	54
29	7	54
30	7	53
31	8	53
32	8	52
33	8	52
34	8	52
35	9	52
36	9	52
37	9	52
38	10	52
39	10	51
40	10	51
41	10	51
42	10	50
43	11	50
44	11	50
45	11	50
46	12	49
47	12	49
48	12	49
49	12	49
50	13	49
51	13	49
52	13	48
53	13	48
54	14	48
55	14	47
56	14	47
57	14	46
58	14	46
59	15	45
60	15	45
61	15	44
62	15	44
63	15	44
64	16	43
65	16	43
66	16	43
67	16	42
68	16	42
69	17	42
70	17	41
71	17	41
72	17	41
73	18	41
74	18	41
75	18	40
76	18	40
77	19	40
78	19	39
79	19	39
80	19	39
81	19	39
82	20	38
83	20	38
84	20	38
85	20	37
86	20	37
87	21	37
88	21	36
89	21	36
90	21	36
91	22	35
92	22	35
93	22	35
94	22	34
95	22	34
96	22	34
97	23	34
98	23	33
99	23	33
100	23	33
101	23	32
102	24	32
103	24	32
104	24	31
105	24	31
106	24	31
107	24	30
108	25	30
109	25	30
110	25	30
111	25	30
112	26	29
113	26	29
114	26	29
115	26	29
116	27	28
117	27	28
118	27	28
119	27	28
120	28	28
121	28	28
122	28	27
123	29	27
124	29	27
125	29	27
126	29	27
127	30	26
128	30	26
129	30	26
130	30	26
131	30	25
132	31	25
133	31	25
134	31	24
135	31	24
136	31	24
137	32	24
138	32	24
139	32	23
140	32	23
141	33	23
142	33	23
143	33	22
144	33	22
145	33	22
146	34	22
147	34	21
148	34	21
149	34	21
150	35	21
151	35	20
152	35	20
153	35	20
154	35	20
155	36	19
156	36	19
157	36	19
158	36	19
159	36	18
160	36	18
161	37	18
162	37	18
163	37	17
164	37	17
165	38	17
166	38	17
167	38	16
168	38	16
169	39	16
170	39	16
171	39	16
172	39	15
173	39	15
174	40	15
175	40	15
176	40	14
177	40	14
178	41	14
179	41	14
180	41	14
181	41	13
182	42	13
183	42	13
184	42	13
185	42	12
186	42	12
187	42	12
188	43	12
189	43	11
190	43	11
191	43	11
192	44	11
193	44	10
194	44	10
195	44	10
196	44	10
197	44	9
198	45	9
199	45	9
200	45	9
201	45	9
202	45	8
203	46	8
204	46	8
205	46	8
206	46	7
207	46	7
208	47	7
209	47	7
210	47	6
211	47	6
212	47	6
213	47	6
214	48	6
215	48	5
216	48	5
217	49	5
218	49	5
219	49	4
220	49	4
221	49	4
222	50	4
223	50	4
224	50	3
225	50	3
226	50	3
227	51	3
228	51	2
229	51	2
230	51	2
231	52	2
232	52	2
233	52	1
234	52	1
235	53	1
236	53	1
237	53	0
238	53	0
239	54	0
240	54	0
241	54	0
